"gene","covid_healthy_log2FC","covid_healthy_padj","covid_virus_log2FC","covid_virus_padj","direction"
"SNORD119",4.28248845370603,5.38564235251371e-12,2.09931654591086,2.36339531341259e-11,"Higher in COVID-19"
"PFKFB4",2.67523451913193,0.00488966332195368,2.19217892820412,3.40895136625119e-11,"Higher in COVID-19"
"SNORD32A",-1.35685851899053,0.00739121722944376,1.8325521699832,4.73299912054862e-11,"Lower in COVID-19"
"PLEK",2.41545353464352,0.00259501487182097,-1.95253370034822,5.10844635696134e-11,"Higher in COVID-19"
"SLC18A1",3.2065291937813,0.00822554413362207,-3.24057310920683,6.32178133504166e-11,"Higher in COVID-19"
"APOL1",1.08076213799656,0.0460872826832025,-1.47429624095111,7.49815837166803e-11,"Higher in COVID-19"
"RNU5E_1",-1.52347068542672,0.00168630047258599,1.60425337493866,7.5989227061656e-11,"Lower in COVID-19"
"PLEKHG2",1.53515707147288,0.0446438911657761,-1.74211391020617,8.07882138131832e-11,"Higher in COVID-19"
"SNORA18",2.30054615940225,0.00376520344548354,2.27844198752399,9.64479070004412e-11,"Higher in COVID-19"
"G0S2",2.99701249364721,0.001374482216303,-2.09474355732334,1.05998039916523e-10,"Higher in COVID-19"
"SNORD56",1.62766960758217,0.00343169140640507,1.8142890479468,1.45832742823663e-10,"Higher in COVID-19"
"CXCL11",5.32479444400125,3.5730437583552e-05,-2.96132406541209,1.52921041700257e-10,"Higher in COVID-19"
"CXCL10",6.06549920250503,2.92298294412341e-08,-2.49650972379062,1.70175863218042e-10,"Higher in COVID-19"
"RNU2_2P",2.46439248028441,5.67000836674737e-05,1.81283093056907,2.05123104554887e-10,"Higher in COVID-19"
"TMEM117",3.15566014853114,0.000689060788225975,2.18420896498504,2.19700852558808e-10,"Higher in COVID-19"
"RNU12",1.41969149114166,0.019605996986022,1.51699664650908,2.19700852558808e-10,"Higher in COVID-19"
"SNORD83B",-1.64920670793344,0.00236303166226101,1.95443761134181,2.30824640914409e-10,"Lower in COVID-19"
"PXK",1.3303596952502,0.0147915436249418,-1.95774975133901,2.39552954568068e-10,"Higher in COVID-19"
"IFIT2",5.50677230372424,5.76986351705656e-16,-1.75807083031338,2.46272261687524e-10,"Higher in COVID-19"
"MIRLET7D",3.67033541379122,0.000656322833807476,2.88871029350422,2.61899356818853e-10,"Higher in COVID-19"
"HMX3",-2.47854432304937,0.0020270637309411,-3.30932191799103,2.72919006709598e-10,"Lower in COVID-19"
"SNORA73A",1.25555978883603,0.00186512536239401,1.46503839055669,3.22956793874271e-10,"Higher in COVID-19"
"ISG20",1.8248188728832,0.000761618216551664,-1.46305423158058,3.35401072365505e-10,"Higher in COVID-19"
"SNORD116_8",1.98124014109045,0.00302028647682501,2.09120233736962,3.46598440042556e-10,"Higher in COVID-19"
"SNORD116_2",1.67246729610484,0.00635195511458686,1.96691064788496,5.00135532980676e-10,"Higher in COVID-19"
"SNORD116_16",1.66253486770759,0.0215933337028865,2.16610822143804,6.82421678228838e-10,"Higher in COVID-19"
"SNORD116_24",2.06284640358198,0.0043251898315007,2.23047823782619,7.32394800691352e-10,"Higher in COVID-19"
"IFIT3",4.53091164275534,1.14890985136368e-15,-1.5028122048582,8.91649763186806e-10,"Higher in COVID-19"
"ALG9",2.40587508093853,0.00275066063838706,1.97950319107661,1.0389037970382e-09,"Higher in COVID-19"
