"gene","covid_log2FC","covid_padj","covid_direction","virus_log2FC","virus_padj","virus_direction","shared_direction"
"SIX2",-1.46363435239353,7.09719203590191e-06,"Down",-3.72244335048818,8.73730142509294e-06,"Down","Shared Down"
"MFGE8",-2.60542917338327,7.53830355481742e-06,"Down",-4.47617602106888,4.63056060437218e-07,"Down","Shared Down"
"TPT1",-1.23658710709692,8.77220790051502e-06,"Down",-2.06974962251377,0.00575040243065084,"Down","Shared Down"
"C21orf2",-1.2801195629468,9.04954827436683e-06,"Down",-3.37701953249476,3.40293513133396e-06,"Down","Shared Down"
"SDSL",-2.43781594968387,9.14260997448016e-06,"Down",-4.07726849650189,9.22647069373552e-06,"Down","Shared Down"
"REXO4",-1.42342110359558,9.49437058728693e-06,"Down",-3.45845300765113,2.2715784969312e-07,"Down","Shared Down"
"LOC401010",-3.39155056004915,9.82037910686464e-06,"Down",-4.65675219450426,0.000104370359168596,"Down","Shared Down"
"VAX1",-3.5430816004452,9.93360190048895e-06,"Down",-4.91522826668969,0.00251663343690893,"Down","Shared Down"
"CTNNBIP1",-1.36255319286061,9.98248800157325e-06,"Down",-3.43314309981959,6.57498404550246e-05,"Down","Shared Down"
"COL25A1",-3.42123840029795,1.24531959312482e-05,"Down",-6.31286389812776,6.20546684683191e-07,"Down","Shared Down"
"GABPB1_AS1",-1.52596062123845,1.30588928765797e-05,"Down",-3.84303108606451,1.2414694963529e-06,"Down","Shared Down"
"MYOM1",-2.48110068628684,1.37543080216882e-05,"Down",-3.71592250906293,0.000401657574568723,"Down","Shared Down"
"OTUB2",-2.24482633484169,1.43230137223803e-05,"Down",-4.43860699146009,1.98222397362057e-05,"Down","Shared Down"
"COX7A1",-1.82167289618878,1.43364352264175e-05,"Down",-4.01051528711328,2.32087030706405e-05,"Down","Shared Down"
"S100A2",-2.50874387865705,1.48667933674519e-05,"Down",-3.66943243977402,2.47236355037312e-05,"Down","Shared Down"
"ADORA1",-3.02640246309812,1.51424243743443e-05,"Down",-4.27235986819207,6.20043771058179e-05,"Down","Shared Down"
"SLC22A7",-2.30098308879166,1.55330991792062e-05,"Down",-4.77907538787569,5.13238992209275e-08,"Down","Shared Down"
"MAP1LC3B",-2.02943014444866,1.59662572672239e-05,"Down",-4.02201497354458,1.87282167698224e-08,"Down","Shared Down"
"COX6B2",-2.34672725425488,1.72618354084092e-05,"Down",-3.56981398323115,8.34017843128601e-05,"Down","Shared Down"
"GHRL",-2.19933410896344,1.78514267615232e-05,"Down",-4.1856324165428,5.82347208949853e-06,"Down","Shared Down"
"LPAR1",-1.83744108885875,1.78514267615232e-05,"Down",-3.85623453417838,4.80284702832743e-07,"Down","Shared Down"
"COMTD1",-2.64082915569952,1.81644964781914e-05,"Down",-3.49088239564529,0.000800428231689197,"Down","Shared Down"
"GSTP1",-1.0465384043984,1.92261451799105e-05,"Down",-3.84573969701492,2.30802995847799e-10,"Down","Shared Down"
"ZNF710",-1.09145757161717,2.00966023009963e-05,"Down",-2.95224641178385,9.60418849674894e-07,"Down","Shared Down"
"SLFNL1",-2.7241888238946,2.05998893980565e-05,"Down",-5.44403554302355,4.00166527982858e-09,"Down","Shared Down"
"NR2F6",-1.07117771600612,2.10285651897297e-05,"Down",-3.41503389094805,3.7955992049511e-07,"Down","Shared Down"
"SNX21",-1.68341278913819,2.10285651897297e-05,"Down",-3.97977840485557,2.80479043726652e-07,"Down","Shared Down"
"FEZF1_AS1",-1.71614500441251,2.29848827033592e-05,"Down",-3.19601058015661,0.000539338979834265,"Down","Shared Down"
"PPP1R37",-1.19703843881271,2.3307639309244e-05,"Down",-3.15379103950513,9.00520182807856e-07,"Down","Shared Down"
"RHOV",-1.45088007466327,2.3307639309244e-05,"Down",-3.21586365127723,1.53885509085142e-06,"Down","Shared Down"
"ISOC1",-1.52989735635957,2.38006449838151e-05,"Down",-4.16400288976067,8.24435348386394e-06,"Down","Shared Down"
