"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction","comparison"
"CD82",89.1514837206827,-3.39954811062625,0.605551219470911,-5.61397285864033,1.97733243052668e-08,9.15684672827535e-07,"Down","OtherVirus_vs_Healthy"
"UBXN6",19.0922902828952,-3.0470086023536,0.543156598185308,-5.60981605035029,2.02541785967148e-08,9.34554218946244e-07,"Down","OtherVirus_vs_Healthy"
"INTS1",44.8030945842552,-2.7001214785004,0.481749330090994,-5.60482663876336,2.08463509407337e-08,9.58405340181386e-07,"Down","OtherVirus_vs_Healthy"
"TXNDC11",14.4232799703796,-3.29952980915347,0.588863492435169,-5.60321679224618,2.10409783321002e-08,9.60418849674894e-07,"Down","OtherVirus_vs_Healthy"
"ZNF710",16.5866827371371,-2.95224641178385,0.526865399482252,-5.60341676391164,2.10167065248337e-08,9.60418849674894e-07,"Down","OtherVirus_vs_Healthy"
"SNORD33",36.5694833380053,-3.27969735447773,0.585494028494579,-5.60158975986566,2.12394754006995e-08,9.66016854385386e-07,"Down","OtherVirus_vs_Healthy"
"SERP1",25.9019823098473,-2.71983084141006,0.485755663114758,-5.59917474552944,2.1537461368783e-08,9.76083880894845e-07,"Down","OtherVirus_vs_Healthy"
"IFIT1",77.0216042805072,4.01270607990529,0.716929443047693,5.59707251364532,2.18001542419583e-08,9.83699750883826e-07,"Up","OtherVirus_vs_Healthy"
"MAMSTR",59.081738267989,-3.85002713483011,0.687922872313699,-5.59659707472913,2.1859994464085e-08,9.83699750883826e-07,"Down","OtherVirus_vs_Healthy"
"ATP5B",26.3035627290078,-3.11329469493232,0.556381619795039,-5.59561025053129,2.1984708604267e-08,9.83918150396452e-07,"Down","OtherVirus_vs_Healthy"
"POMP",13.2885909257858,-2.98286465616396,0.5330983068803,-5.59533695317799,2.20193696790725e-08,9.83918150396452e-07,"Down","OtherVirus_vs_Healthy"
"PIN1",13.1472937691333,-3.3704496609293,0.603089261903586,-5.5886414728905,2.28852892766322e-08,1.01548487434812e-06,"Down","OtherVirus_vs_Healthy"
"POLR2L",18.9822073050423,-3.70294868152519,0.662516971930505,-5.58921331590221,2.28100608324878e-08,1.01548487434812e-06,"Down","OtherVirus_vs_Healthy"
"PRRC1",6.23247085664654,-3.19537739704545,0.571865914946254,-5.58763394273248,2.30184206206588e-08,1.01784578681976e-06,"Down","OtherVirus_vs_Healthy"
"ACVR1C",506.628421098325,-3.46743276390175,0.620681915557639,-5.58648911300486,2.31706066717532e-08,1.02103002063937e-06,"Down","OtherVirus_vs_Healthy"
"SNORA16A",134.979117789237,-2.91789490604125,0.522740336320038,-5.5819203212488,2.37877358447153e-08,1.04460971028431e-06,"Down","OtherVirus_vs_Healthy"
"NUDT3",5.17482160374107,-3.54712913959092,0.635662119701982,-5.58021160872999,2.40226146533384e-08,1.05129896086002e-06,"Down","OtherVirus_vs_Healthy"
"C4orf3",24.2306696862695,-2.84931669255961,0.511432854685149,-5.57124296270273,2.52928311856329e-08,1.09201559664623e-06,"Down","OtherVirus_vs_Healthy"
"MGAT4B",14.7529678781715,-3.05600617433912,0.548493580812194,-5.57163525927481,2.5235932591714e-08,1.09201559664623e-06,"Down","OtherVirus_vs_Healthy"
"MVP",88.823913456502,-2.58389951303644,0.463786353463798,-5.57131423496731,2.52824846281461e-08,1.09201559664623e-06,"Down","OtherVirus_vs_Healthy"
"PPP1CA",19.4079221792426,-2.88584414872577,0.51799131423836,-5.5712211178078,2.52960032203092e-08,1.09201559664623e-06,"Down","OtherVirus_vs_Healthy"
"CRYM",8.29982787872049,-3.70153558964753,0.664539372347305,-5.57007717476974,2.54626524639439e-08,1.09549621327137e-06,"Down","OtherVirus_vs_Healthy"
