"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction","comparison"
"LINC01011",414.824829649171,-3.45164082900286,0.535847407390192,-6.44146221741343,1.18327907777542e-10,1.92874489677394e-08,"Down","COVID19_vs_Healthy"
"CLTCL1",8.87357008959302,-2.47706790520945,0.38508955694627,-6.43244632457033,1.25566380082015e-10,2.00496195461568e-08,"Down","COVID19_vs_Healthy"
"OSBPL1A",16.0269305553687,-1.4380312075747,0.223536582135584,-6.43309114703417,1.25034619470993e-10,2.00496195461568e-08,"Down","COVID19_vs_Healthy"
"OGFOD2",12.2765112405006,-2.23637730080664,0.347957551463136,-6.42715552918118,1.30013782277121e-10,2.05500572229534e-08,"Down","COVID19_vs_Healthy"
"PTK6",32.4957600396566,-2.98506912604061,0.465656711959077,-6.41045012211259,1.45090617513448e-10,2.27037798285043e-08,"Down","COVID19_vs_Healthy"
"PRRT1",7.18531167761631,-3.19007137913101,0.498415518583461,-6.40042546868818,1.54944571725397e-10,2.40056698847427e-08,"Down","COVID19_vs_Healthy"
"XRN1",96.2388465979197,1.60341736026953,0.251031585036465,6.38731321413842,1.68825625135479e-10,2.58998370796077e-08,"Up","COVID19_vs_Healthy"
"C10orf2",16.2614341392546,-2.23270520711319,0.350693855027744,-6.36653643941539,1.93344382752621e-10,2.90908932818558e-08,"Down","COVID19_vs_Healthy"
"MOV10L1",6.09825650909939,-4.1818011085952,0.656783692156449,-6.36709035034792,1.92647705334191e-10,2.90908932818558e-08,"Down","COVID19_vs_Healthy"
"CXCL10",25.0188970568243,6.06549920250503,0.953045021635512,6.36433648443604,1.96135742032821e-10,2.92298294412341e-08,"Up","COVID19_vs_Healthy"
"SIAE",8.40355865692773,-2.10172045911623,0.330537932518334,-6.35848491912392,2.03753384495731e-10,3.00786128357471e-08,"Down","COVID19_vs_Healthy"
"HSP90AA1",1675.7357650665,1.59741147162929,0.25221366898165,6.33356422781952,2.3956151466775e-10,3.50341923506632e-08,"Up","COVID19_vs_Healthy"
"SLC9A3R1",127.89587574835,-0.931511520144732,0.147246780550828,-6.32619278099044,2.51283849646874e-10,3.64082377710581e-08,"Not significant","COVID19_vs_Healthy"
"ARID4A",62.5625363621759,1.63895758414018,0.260923307044307,6.28137671067412,3.35587874807643e-10,4.77389005908181e-08,"Up","COVID19_vs_Healthy"
"SLC25A20",4.12754439203869,-2.18945022526385,0.348519678117197,-6.28214233724732,3.33938884221425e-10,4.77389005908181e-08,"Down","COVID19_vs_Healthy"
"ACTA2",96.8466822578826,4.60486879748169,0.733570207804789,6.27733889474843,3.44416835600483e-10,4.85534652565437e-08,"Up","COVID19_vs_Healthy"
"BSPRY",22.7075505069313,-1.53289562984486,0.244629034791664,-6.26620479106388,3.69953730537152e-10,5.16878212093336e-08,"Down","COVID19_vs_Healthy"
"LOC283214",3.61692316051016,-4.64700465260655,0.742871835023081,-6.25545946625122,3.96347277081235e-10,5.48853291306829e-08,"Down","COVID19_vs_Healthy"
"MIER1",92.4046782385248,1.45075182126064,0.232286743448877,6.24552137466222,4.22388763584111e-10,5.79784155488085e-08,"Up","COVID19_vs_Healthy"
"GIMAP4",26.6518392142621,3.02725899847701,0.485697813842268,6.23280342674164,4.5816094597011e-10,6.18177539718126e-08,"Up","COVID19_vs_Healthy"
"SLC3A1",33.0388518388902,-4.07299711052511,0.653481114847882,-6.23276942207155,4.58260446110063e-10,6.18177539718126e-08,"Down","COVID19_vs_Healthy"
"RPL23AP53",6.4318247784696,-2.09890265405704,0.336999732673818,-6.22820272705845,4.71816303524165e-10,6.3102406132873e-08,"Down","COVID19_vs_Healthy"
"TMEM165",40.3639405639234,-1.46622362239782,0.235910123331083,-6.21517890667237,5.12662049856225e-10,6.79842013233069e-08,"Down","COVID19_vs_Healthy"
"FSTL3",138.171929540123,4.48160990635263,0.722323407986268,6.20443676170858,5.48931405722156e-10,7.21821734179857e-08,"Up","COVID19_vs_Healthy"
"KCTD1",60.1847131778876,-1.56894782173743,0.253636259724218,-6.18581831889244,6.17811300399344e-10,8.05625935720745e-08,"Down","COVID19_vs_Healthy"
"PXMP4",16.5455244986841,-2.11955123893736,0.342997286082057,-6.1794985702315,6.43055165218079e-10,8.31613820275413e-08,"Down","COVID19_vs_Healthy"
"HADHA",85.3827284004277,-1.73284324604007,0.280664868887987,-6.17406536452428,6.65560036209052e-10,8.53662577590102e-08,"Down","COVID19_vs_Healthy"
"OR5C1",1.56883068859507,-3.62150581083252,0.586763053421393,-6.17200723480399,6.74284143290009e-10,8.57820997902607e-08,"Down","COVID19_vs_Healthy"
"IRF9",63.2238598384085,1.23831441631472,0.201060326960717,6.15891973833635,7.32428331269245e-10,9.2427730062106e-08,"Up","COVID19_vs_Healthy"
"LAP3",107.87558871898,1.79749198239103,0.292273401592285,6.15003613944486,7.7465293802036e-10,9.69741533931407e-08,"Up","COVID19_vs_Healthy"
"BCL7B",30.3934557753024,-1.42460024085716,0.23195893617982,-6.14160533894142,8.16916226733556e-10,1.01453215205767e-07,"Down","COVID19_vs_Healthy"
"NT5C3A",22.7000994443909,2.32630242302991,0.379232194092587,6.13424297638073,8.55656577429678e-10,1.05427670264721e-07,"Up","COVID19_vs_Healthy"
"RABGAP1L",105.809859505337,1.0583295701142,0.173293840678063,6.10713898412766,1.01432907208662e-09,1.24001729062589e-07,"Up","COVID19_vs_Healthy"
