"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","direction","comparison"
"CRMP1",23.9754113929407,-2.37666798843591,0.361352546339889,-6.57714470953363,4.79568000744724e-11,2.90029647723116e-09,"Down","COVID19_vs_OtherVirus"
"PIGQ",240.541858311041,1.98436299383727,0.301755754816852,6.57605683458022,4.83087958585802e-11,2.91055937614374e-09,"Up","COVID19_vs_OtherVirus"
"CCDC88B",62.8464717167312,-1.05569111256087,0.160611521750162,-6.57294757597182,4.93288300800616e-11,2.96084248518144e-09,"Down","COVID19_vs_OtherVirus"
"SCGB1B2P",41.1487257320463,2.14911465283677,0.327103453603168,6.57013745701386,5.02688348378392e-11,3.00596335962899e-09,"Up","COVID19_vs_OtherVirus"
"IDH1",11.6432983226081,1.39991725951419,0.213111100681927,6.5689551367087,5.06695463765277e-11,3.01861931883448e-09,"Up","COVID19_vs_OtherVirus"
"SNORD34",5.98549591448286,1.98656244853567,0.302461841607759,6.5679770974611,5.1003383225702e-11,3.02721195755226e-09,"Up","COVID19_vs_OtherVirus"
"N4BP1",70.1445986886673,-1.42812553580075,0.218145147813538,-6.54667568870912,5.8831929808298e-11,3.46609074287559e-09,"Down","COVID19_vs_OtherVirus"
"SNORD16",3.63964908223214,2.42240579490722,0.370116950244733,6.54497394217002,5.95057603484621e-11,3.49290062398362e-09,"Up","COVID19_vs_OtherVirus"
"SNORD10",99.5512543207446,1.46154200305538,0.223401055599745,6.54223409612685,6.06065331884189e-11,3.54448318273368e-09,"Up","COVID19_vs_OtherVirus"
"IRG1",2.58666306153065,-3.47032283985686,0.530761042782377,-6.5383902738313,6.21844819079265e-11,3.62349429978816e-09,"Down","COVID19_vs_OtherVirus"
"RNF19B",80.0430951796642,-1.23484894500501,0.188974819789333,-6.53446287913704,6.38382252054809e-11,3.70633128592984e-09,"Down","COVID19_vs_OtherVirus"
"GSE1",172.686077146079,-1.47317700657932,0.225773265934328,-6.52502855235233,6.79885814115028e-11,3.9329916333915e-09,"Down","COVID19_vs_OtherVirus"
"SNAP29",50.3500524207168,-1.59458952968647,0.244863520254971,-6.51215635561416,7.40795482371284e-11,4.25594924577224e-09,"Down","COVID19_vs_OtherVirus"
"SNORA8",13.8995985208868,1.47720001506775,0.226839075665876,6.5121056005518,7.41045903998924e-11,4.25594924577224e-09,"Up","COVID19_vs_OtherVirus"
"THEMIS2",49.1675718004644,-1.7132490986604,0.26368312975546,-6.49737850217899,8.17316502552831e-11,4.67715959847975e-09,"Down","COVID19_vs_OtherVirus"
"IFNL1",1.63540399893962,-3.17118771039216,0.488393219087291,-6.49310347985272,8.40858889604213e-11,4.79469751122174e-09,"Down","COVID19_vs_OtherVirus"
"SNORD50B",85.8744096123362,1.75499219931144,0.2706569945789,6.48419303569796,8.92079476030831e-11,5.06866224708479e-09,"Up","COVID19_vs_OtherVirus"
"SCARNA10",236.654446705411,1.28567489149889,0.198487054888943,6.47737401423104,9.33326437376359e-11,5.28421627629466e-09,"Up","COVID19_vs_OtherVirus"
"SNORD116_15",17.4042309087392,2.08463953974204,0.322343834542021,6.46713017701688,9.98816016846226e-11,5.63501643991761e-09,"Up","COVID19_vs_OtherVirus"
"ECH1",9.76146851002558,1.24628399078867,0.192819289772018,6.46348190713817,1.02320774694782e-10,5.75230101682003e-09,"Up","COVID19_vs_OtherVirus"
"FOSL2",190.552457613351,-1.07734284573943,0.167316214830393,-6.43896257652925,1.20292852744193e-10,6.73893223478519e-09,"Down","COVID19_vs_OtherVirus"
"TULP1",14.5200303942829,-2.67795635769988,0.416533152108976,-6.42915538448968,1.2831490985976e-10,7.16320227559763e-09,"Down","COVID19_vs_OtherVirus"
"GCH1",12.9047411654132,-1.32569314644989,0.206474240077574,-6.42062247548078,1.35718226789401e-10,7.55009480459785e-09,"Down","COVID19_vs_OtherVirus"
"BHLHA15",15.0258021851285,-4.76890175681022,0.743061674733303,-6.417908390339,1.38159347906644e-10,7.64211399140089e-09,"Down","COVID19_vs_OtherVirus"
"IRX1",11.537905654277,-2.95469819037479,0.460396809943759,-6.417720815085,1.3832963444287e-10,7.64211399140089e-09,"Down","COVID19_vs_OtherVirus"
"SRI",9.15290003843964,1.45026608598831,0.226508142286847,6.40271061051622,1.52642350074651e-10,8.4037509010065e-09,"Up","COVID19_vs_OtherVirus"
"CCL2",13.8190007988879,-2.50914576490538,0.392075305487056,-6.39965264271973,1.55730825341263e-10,8.54432425222891e-09,"Down","COVID19_vs_OtherVirus"
"TNFSF14",9.73382800287654,-1.94268078293492,0.303637193118904,-6.39803300438944,1.57391272570838e-10,8.60585293789725e-09,"Down","COVID19_vs_OtherVirus"
"LDHB",33.4163391924691,1.24981018099054,0.19544852846759,6.39457452450347,1.60995014049962e-10,8.77285458812863e-09,"Up","COVID19_vs_OtherVirus"
"C1orf194",16.220360324855,1.64929128247745,0.258024415591145,6.39199696935213,1.63733144952786e-10,8.89171221876252e-09,"Up","COVID19_vs_OtherVirus"
"IRS1",14.9182341314594,-1.54807861302623,0.242268329133251,-6.38993391569051,1.65957460283662e-10,8.98195529114898e-09,"Down","COVID19_vs_OtherVirus"
"BBC3",8.41738354977186,-1.52626681172813,0.239046881004826,-6.38480119595167,1.71620278612769e-10,9.25705867679548e-09,"Down","COVID19_vs_OtherVirus"
"GABRG3",34.3998170077917,-2.84078177512939,0.445010896215346,-6.38362296134588,1.7294660376279e-10,9.29719015379363e-09,"Down","COVID19_vs_OtherVirus"
"ALKBH2",41.5036697726381,-2.33616740785279,0.366688239454303,-6.37099082132939,1.87810883386782e-10,1.00623777320583e-08,"Down","COVID19_vs_OtherVirus"
"SRXN1",27.6358605816417,-1.45116759215776,0.228066675332232,-6.36290939938415,1.97967476475717e-10,1.05710659846532e-08,"Down","COVID19_vs_OtherVirus"
"SNORA80B",7.6969696882681,1.48001325643366,0.232676512221744,6.36081932938376,2.00680381789383e-10,1.0680209918831e-08,"Up","COVID19_vs_OtherVirus"
"TMEM136",9.44254998659838,-2.73777504618978,0.430499713450182,-6.35952814985229,2.02374442428182e-10,1.07345858731175e-08,"Down","COVID19_vs_OtherVirus"
"PSMB1",18.8166958946614,1.16907914166977,0.184129688003083,6.34921589423533,2.16415140470544e-10,1.14072200077757e-08,"Up","COVID19_vs_OtherVirus"
