"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C2orf40",41.5296116350006,2.77590874778409,0.559724556526196,4.95941926331077,7.07042247828709e-07,3.27331274971114e-05
"C4orf33",6.81791394898225,1.03317201554385,0.3760994533884,2.74707130317705,0.00601300603993416,0.0360365831148563
"C6orf223",3.71076986114456,-1.66560893774093,0.567209785853274,-2.93649541894856,0.00331943723045071,0.0238256419962609
"C6orf226",1.42277340966722,-1.15991310600831,0.414138131895045,-2.80078798998946,0.00509779982060664,0.0320362938123907
"C7orf71",11.9736590416558,5.74433722445708,1.98321466886812,2.89647778156842,0.00377377364026773,0.0260485266532464
"C8orf46",59.6157858272078,-3.28747830595197,0.420933144141611,-7.80997731280099,5.71982807784453e-15,2.71223847763974e-12
"C8orf76",3.15985366244327,-1.21362866757639,0.447926793328505,-2.70943530427824,0.00673978480421834,0.0391555915930869
"C8orf82",6.11386099128211,-1.20029484028565,0.374359640532436,-3.20626133356287,0.00134471803026393,0.0122877508906774
"C9orf16",21.15341106119,-1.96271348683656,0.285941135951354,-6.86404731626466,6.69364434138101e-12,1.36028761888221e-09
"C9orf69",46.5184945926681,-1.78368737707179,0.449284789572909,-3.97005956682256,7.18546655657566e-05,0.00131763952888948
"C9orf72",29.7274362563267,1.23469119466825,0.31504664481423,3.91907425453236,8.88897285218894e-05,0.00155761083080686
"CABLES1",9.59780156576521,-2.18215269875006,0.445741639973511,-4.89555496515815,9.80286865355811e-07,4.10147830724271e-05
"CACFD1",15.7215624976357,-1.44997236356326,0.316193847359664,-4.58570707707019,4.52452579057266e-06,0.000144784825298325
"CACNA1A",47.7486374408691,-2.1330575669413,0.401201064753997,-5.31667972578592,1.056778373921e-07,6.74957877351663e-06
"CACNA1G",9.12532998875445,-2.3735335081557,0.600272982687852,-3.95409018331574,7.68264300269979e-05,0.0013834061876438
"CACNA2D4",3.45887980794449,-1.45575778932498,0.503108146349642,-2.89352855819845,0.00380939647280854,0.0261789354442284
"CALCOCO2",51.2993706601293,1.06089001781421,0.195743507605496,5.41979670637321,5.96668462259401e-08,4.2633187659521e-06
"CALML3_AS1",1.12210715302421,-2.21161769814007,0.628080657886713,-3.52123197931527,0.000429546656447413,0.00521859167708783
"CALML5",1.29134620369605,-2.51119846506143,0.718737813223979,-3.49390058357604,0.000476018246347128,0.00567583704409438
"CAMK2N2",7.94105813541011,-2.00177945810825,0.501725232379449,-3.989792278564,6.6131184195146e-05,0.00123046464956676
"CAND2",24.2554599681869,2.38178605387843,0.75284937269042,3.16369534235881,0.00155779771254846,0.0138031815435778
"CAPN12",5.99668488970329,-2.90676880696751,0.437071625098309,-6.65055482911686,2.91990199942425e-11,5.57202762036471e-09
"CAPS2",18.3380048275288,1.00492634925403,0.384300521872614,2.61494921827648,0.00892407225442175,0.0477251820359506
"CAPZA1",29.2264587565923,1.01386138790881,0.332919351810351,3.04536633991274,0.00232397048489372,0.0183109215244798
"CARD10",150.282004224188,2.42093722771536,0.652253128345135,3.71165291894827,0.000205910209465959,0.00296966171218739
"CARD16",29.3052531878146,3.59284911896077,0.631329035007051,5.69092964165769,1.26349566356062e-08,1.15620936511091e-06
"CARD8_AS1",2.52613171758485,1.93734027021886,0.709128761150139,2.73200069769653,0.00629510076698652,0.0371813660855934
"CASC1",113.486693333498,1.17584244394708,0.325926205232809,3.60769531589881,0.000308928965681898,0.00406570265348221
"CASC10",3.36578169790192,-1.93921938022063,0.524998695410616,-3.69376037916421,0.000220962031515662,0.00311216369861123
"CASKIN1",5.30916711561214,-3.17768395766023,0.590534393375683,-5.38103113604539,7.40603821008822e-08,4.99524508239054e-06
"CASP1",29.3391967568558,2.26665574919072,0.478415653687498,4.73783776036581,2.16010636020438e-06,7.95325748811251e-05
"CASP4",63.0048245372199,1.80382963750587,0.365517112830338,4.93500734763998,8.01477424538216e-07,3.57308226187293e-05
"CASP5",1.96117981661957,3.13752279409331,1.01823131514072,3.08134580761711,0.00206067174013809,0.0167769986418735
"CATIP",22.5113521146198,-1.3952996413518,0.35157691711105,-3.96868956249219,7.2268955910042e-05,0.00131956198609141
"CATSPERD",14.066169943656,1.54532036561571,0.437163698597583,3.53487805728857,0.000407963379735121,0.00500298665054481
"CAV1",2.03689790784859,-2.12817507328176,0.598967558976058,-3.55307235156424,0.000380759726313905,0.00475195141118011
"CBLC",7.8395411584263,-1.00116860822516,0.330351126708384,-3.03061962645867,0.00244052487708931,0.0190636295381275
"CBX3",69.4425267974092,1.14565294861926,0.249398455791473,4.59366496469876,4.35528426227313e-06,0.000140229399456893
